"sourceCode","sourceName","sourceFrequency","sourceAutoAssignedConceptIds","ADD_INFO:bno_name","ADD_INFO:orig_name","matchScore","mappingStatus","equivalence","statusSetBy","statusSetOn","conceptId","conceptName","domainId","mappingType","comment","createdBy","createdOn","assignedReviewer"
"A0220","Salmonella local infections",-1,0,"Salmonella helyi fertőzések","Salmonella helyi fertőzések",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,141209,"Localized Salmonella infection","Condition","MAPS_TO",,,0,
"A0280","Other specified salmonella infections",-1,0,"Egyéb meghatározott salmonella fertőzések","Egyéb meghatározott salmonella fertőzések",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,133685,"Salmonella infection","Condition","MAPS_TO",,,0,
"A0290","Salmonella infection k.m.n.",-1,0,"Salmonella fertőzés k.m.n.","Salmonella fertőzés k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,133685,"Salmonella infection","Condition","MAPS_TO",,,0,
"A0300","Shigellosis, caused by Shigella dysenteriae",-1,0,"Shigellosis, Shigella dysenteriae okozta","Shigellosis, Shigella dysenteriae okozta",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4282310,"Infection due to Group A Shigella","Condition","MAPS_TO",,,0,
"A0310","Shigellosis due to Shigella flexneri",-1,0,"Shigellosis Shigella flexneri miatt","Shigellosis Shigella flexneri miatt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4145763,"Infection due to Group B Shigella","Condition","MAPS_TO",,,0,
"A0320","Shigellosis, due to Shigella boydii",-1,0,"Shigellosis, Shigella boydii miatt","Shigellosis, Shigella boydii miatt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4185509,"Infection due to Group C Shigella","Condition","MAPS_TO",,,0,
"A0330","Shigellosis, due to Shigella sonnei",-1,0,"Shigellosis, Shigella sonnei miatt","Shigellosis, Shigella sonnei miatt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4321384,"Infection due to Group D Shigella","Condition","MAPS_TO",,,0,
"A0380","Other shigellosis",-1,0,"Egyéb shigellosis","Egyéb shigellosis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,440938,"Infection by Shigella","Condition","MAPS_TO",,,0,
"A0390","Shigellosis k.m.n.",-1,0,"Shigellosis k.m.n.","Shigellosis k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,201780,"Shigellosis","Condition","MAPS_TO",,,0,
"A0400","Enteropathogenic Escherichia coli infection",-1,0,"Enteropathogen Escherichia coli fertőzés","Enteropathogen Escherichia coli fertőzés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4345206,"Enteropathogenic Escherichia coli gastrointestinal tract infection","Condition","MAPS_TO",,,0,
"A0410","Enterotoxic Escherichia coli infection",-1,0,"Enterotoxikus Escherichia coli fertőzés","Enterotoxikus Escherichia coli fertőzés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4345354,"Enterotoxigenic Escherichia coli gastrointestinal tract infection","Condition","MAPS_TO",,,0,
"A0420","Enteroinvasive Escherichia coli infection",-1,0,"Enteroinvasiv Escherichia coli fertőzés","Enteroinvasiv Escherichia coli fertőzés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4345355,"Enteroinvasive Escherichia coli gastrointestinal tract infection","Condition","MAPS_TO",,,0,
"A0430","Enterohaemorrhagic Escherichia coli infection",-1,0,"Enterohaemorrhagiás Escherichia coli fertőzés","Enterohaemorrhagiás Escherichia coli fertőzés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4345207,"Verotoxigenic Escherichia coli gastrointestinal tract infection","Condition","MAPS_TO",,,0,
"A0440","Escherichia coli enteritis, k.m.n.",-1,0,"Escherichia coli enteritis, k.m.n.","Escherichia coli enteritis, k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,192815,"Intestinal infection due to E. coli","Condition","MAPS_TO",,,0,
"A0450","Enteritis caused by Campylobacter",-1,0,"Campylobacter okozta bélhurut","Campylobacter okozta bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,198334,"Enteric campylobacteriosis","Condition","MAPS_TO",,,0,
"A0460","Enteritis caused by Yersinia enterocolitica",-1,0,"Yersinia enterocolitica okozta bélhurut","Yersinia enterocolitica okozta bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,46273592,"Enteritis due to Yersinia enterocolitica","Condition","MAPS_TO",,,0,
"A0470","Small and large bowel inflammation caused by Clostridium difficile",-1,0,"Clostridium difficile okozta vékony- és vastagbélgyulladás","Clostridium difficile okozta vékony- és vastagbélgyulladás",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,193688,"Clostridioides difficile infection","Condition","MAPS_TO",,,0,
"A0480","Intestinal infections caused by other specific bacteria",-1,0,"Egyéb meghatározott baktériumok által okozott bélfertőzések","Egyéb meghatározott baktériumok által okozott bélfertőzések",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,193402,"Bacterial enteritis","Condition","MAPS_TO",,,0,
"A0490","Intestinal infection caused by bacteria k.m.n.",-1,0,"Baktériumok által okozott bélfertőzés k.m.n.","Baktériumok által okozott bélfertőzés k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,193402,"Bacterial enteritis","Condition","MAPS_TO",,,0,
"A0500","Food poisoning caused by Staphylococcus",-1,0,"Staphylococcus által okozott ételmérgezés","Staphylococcus által okozott ételmérgezés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,197776,"Food poisoning due to staphylococcus","Condition","MAPS_TO",,,0,
"A0510","Botulism",-1,0,"Botulizmus","Botulizmus",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,443444,"Foodborne botulism","Condition","MAPS_TO",,,0,
"A0520","Food poisoning caused by Clostridium perfringens [Clostridium welchii].",-1,0,"Clostridium perfringens [Clostridium welchii] okozta ételmérgezés","Clostridium perfringens [Clostridium welchii] okozta ételmérgezés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,196324,"Food poisoning due to Clostridium perfringens","Condition","MAPS_TO",,,0,
"A0530","Vibrio parahaemolyticus food poisoning",-1,0,"Vibrio parahaemolyticus ételmérgezés","Vibrio parahaemolyticus ételmérgezés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,438670,"Food poisoning caused by Vibrio parahaemolyticus","Condition","MAPS_TO",,,0,
"A0540","Bacillus cereus food poisoning",-1,0,"Bacillus cereus ételmérgezés","Bacillus cereus ételmérgezés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4058528,"Food poisoning due to Bacillus cereus","Condition","MAPS_TO",,,0,
"A0580","Food poisoning caused by other specific bacteria",-1,0,"Egyéb meghatározott baktériumok által okozott ételmérgezések","Egyéb meghatározott baktériumok által okozott ételmérgezések",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,441500,"Bacterial food poisoning","Condition","MAPS_TO",,,0,
"A0590","Bacterial food poisoning, k.m.n.",-1,0,"Bakteriális ételmérgezés, k.m.n.","Bakteriális ételmérgezés, k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,441500,"Bacterial food poisoning","Condition","MAPS_TO",,,0,
"A0600","Acute amoebic dysentery",-1,0,"Heveny amoebás dysenteria","Heveny amoebás dysenteria",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4085622,"Acute amebic dysentery","Condition","MAPS_TO",,,0,
"A0610","Chronic intestinal amoebiasis",-1,0,"Idült bél amoebiasis","Idült bél amoebiasis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4032877,"Chronic amebiasis","Condition","MAPS_TO",,,0,
"A0620","Amoebic colitis, not associated with dysentery",-1,0,"Amoebás vastagbélgyulladás, nem vérhassal járó","Amoebás vastagbélgyulladás, nem vérhassal járó",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,76022,"Amebic nondysenteric colitis","Condition","MAPS_TO",,,0,
"A0630","Intestinal amoeboma",-1,0,"Bél amoeboma","Bél amoeboma",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4051447,"Ameboma","Condition","MAPS_TO",,,0,
"A0640","Amoebic liver abscess",-1,0,"Amoebás májtályog","Amoebás májtályog",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,194560,"Amebic liver abscess","Condition","MAPS_TO",,,0,
"A0650","Amoebic lung abscess (J99.8*)",-1,0,"Amoebás tüdőtályog (J99.8*)","Amoebás tüdőtályog (J99.8*)",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256023,"Amebic lung abscess","Condition","MAPS_TO",,,0,
"A0660","Amoebic brain abscess (G07*)",-1,0,"Amoebás agytályog (G07*)","Amoebás agytályog (G07*)",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,373684,"Amebic brain abscess","Condition","MAPS_TO",,,0,
"A0670","Cutaneous amoebiasis",-1,0,"Bőr amoebiasis","Bőr amoebiasis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,133123,"Amebiasis of skin","Condition","MAPS_TO",,,0,
"A0680","Amoebic infection of other localization",-1,0,"Egyéb lokalizációjú amoebás fertőzés","Egyéb lokalizációjú amoebás fertőzés",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,438959,"Amebic infection","Condition","MAPS_TO",,,0,
"A0690","Amoebiasis k.m.n.",-1,0,"Amoebiasis k.m.n.","Amoebiasis k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,438959,"Amebic infection","Condition","MAPS_TO",,,0,
"A0700","Balantidiasis",-1,0,"Balantidiasis","Balantidiasis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,197206,"Balantidiasis","Condition","MAPS_TO",,,0,
"A0710","Giardiasis",-1,0,"Giardiasis [lambliasis]","Giardiasis [lambliasis]",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,437202,"Giardiasis","Condition","MAPS_TO",,,0,
"A0720","Cryptosporidiosis",-1,0,"Cryptosporidiosis","Cryptosporidiosis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,194265,"Cryptosporidiosis","Condition","MAPS_TO",,,0,
"A0730","Isosporosis",-1,0,"Isosporosis","Isosporosis",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4154124,"Isosporiasis","Condition","MAPS_TO",,,0,
"A0780","Other specified protozoan intestinal diseases",-1,0,"Egyéb meghatározott protozoon bélbetegségek","Egyéb meghatározott protozoon bélbetegségek",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,196325,"Protozoal intestinal disease","Condition","MAPS_TO",,,0,
"A0790","Protozoan intestinal disease k.m.n.",-1,0,"Protozoon bélbetegség k.m.n.","Protozoon bélbetegség k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,196325,"Protozoal intestinal disease","Condition","MAPS_TO",,,0,
"A0800","Rotavirus enteritis",-1,0,"Rotavirus bélhurut","Rotavirus bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,199718,"Enteritis due to rotavirus","Condition","MAPS_TO",,,0,
"A0810","Acute gastrointestinal disease caused by the Norwalk agent",-1,0,"Norwalk-ágens által okozott heveny gyomor-bélbetegség","Norwalk-ágens által okozott heveny gyomor-bélbetegség",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,4345352,"Small round structured virus food poisoning","Condition","MAPS_TO",,,0,
"A0820","Enteritis caused by adenovirus",-1,0,"Adenovirus okozta bélhurut","Adenovirus okozta bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,193120,"Adenoviral enteritis","Condition","MAPS_TO",,,0,
"A0830","Other viral enteritis",-1,0,"Egyéb vírusos bélhurut","Egyéb vírusos bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,196620,"Viral enteritis","Condition","MAPS_TO",,,0,
"A0840","Viral intestinal infection k.m.n.",-1,0,"Vírusos bélfertőzés k.m.n.","Vírusos bélfertőzés k.m.n.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,198678,"Intestinal infectious disease","Condition","MAPS_TO",,,0,
"A0850","Other specified intestinal infections",-1,0,"Egyéb meghatározott bélfertőzések","Egyéb meghatározott bélfertőzések",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,198678,"Intestinal infectious disease","Condition","MAPS_TO",,,0,
"A09H0","Presumably infectious diarrhea and gastroenteritis",-1,0,"Feltételezetten fertőző eredetű hasmenés és gyomor-bélhurut","Feltételezetten fertőző eredetű hasmenés és gyomor-bélhurut",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,37396146,"Gastrointestinal infection","Condition","MAPS_TO",,,0,
"A1500","Pulmonary tuberculosis, confirmed by microscopic examination of sputum, with or without culture",-1,0,"Tüdőgümőkór, a köpet mikroszkópos vizsgálatával, tenyésztéssel vagy anélkül igazolt","Tüdőgümőkór, a köpet mikroszkópos vizsgálatával, tenyésztéssel vagy anélkül igazolt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1501","Pulmonary tuberculosis, microscopically positive, no cavern, unilateral",-1,0,"Tüdőgümőkór, mikroszkópos pozitiv, caverna nincs, egyoldali","Tüdőgümőkór, mikroszkópos pozitiv, caverna nincs, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1502","Pulmonary tuberculosis, microscopically positive, no cavern, bilateral",-1,0,"Tüdőgümőkór, mikroszkópos pozitiv, caverna nincs, kétoldali","Tüdőgümőkór, mikroszkópos pozitiv, caverna nincs, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1503","Pulmonary tuberculosis, microscopically positive, convoluted, unilateral",-1,0,"Tüdőgümőkór, mikroszkópos pozitiv, cavarnás, egyoldali","Tüdőgümőkór, mikroszkópos pozitiv, cavarnás, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1504","Pulmonary tuberculosis, microscopically positive, convoluted, bilateral",-1,0,"Tüdőgümőkór, mikroszkópos pozitiv, cavarnás, kétoldali","Tüdőgümőkór, mikroszkópos pozitiv, cavarnás, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1505","Pulmonary tuberculosis, microscopically positive, relapse, no caverna",-1,0,"Tüdőgümőkór, mikroszkópos pozitiv, recidiva, caverna nincs","Tüdőgümőkór, mikroszkópos pozitiv, recidiva, caverna nincs",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1506","Pulmonary tuberculosis, microscopically positive, relapse, with cavernous",-1,0,"Tüdőgümőkór, mikroszkópos pozitiv, recidiva, cavernával","Tüdőgümőkór, mikroszkópos pozitiv, recidiva, cavernával",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A150A","Pulmonary tuberculosis, sputum micro. exam with or without teny. up to polyresist.",-1,0,"Tüdőgümőkór, köpet mikr. vizsg. teny.-el, vagy anélk. ig. polirezist.","Tüdőgümőkór, köpet mikr. vizsg. teny.-el, vagy anélk. ig. polirezist.",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1510","Pulmonary tuberculosis, confirmed only by culture",-1,0,"Tüdőgümőkór, csak tenyésztéssel igazolt","Tüdőgümőkór, csak tenyésztéssel igazolt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1511","Pulmonary tuberculosis, positive only by culture, no cavern, unilateral",-1,0,"Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, egyoldali","Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1512","Pulmonary tuberculosis, positive only by culture, no caverna, bilateral",-1,0,"Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, kétoldali","Tüdőgümőkór, csak tenyésztéssel pozitiv, caverna nincs, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1513","Pulmonary tuberculosis, positive only by culture, cavernous, unilateral",-1,0,"Tüdőgümőkór, csak tenyésztéssel pozitiv, cavernás, egyoldali","Tüdőgümőkór, csak tenyésztéssel pozitiv, cavernás, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1514","Pulmonary tuberculosis, positive only by culture, cavernous, bilateral",-1,0,"Tüdőgümőkór, csak tenyésztéssel pozitiv, cavernás, kétoldali","Tüdőgümőkór, csak tenyésztéssel pozitiv, cavernás, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1515","Pulmonary tuberculosis, positive only by culture, recurrent, unilateral",-1,0,"Tüdőgümőkór, csak tenyésztéssel pozitiv, recidiva, egyoldali","Tüdőgümőkór, csak tenyésztéssel pozitiv, recidiva, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1516","Pulmonary tuberculosis, positive only by culture, recurrent, bilateral",-1,0,"Tüdőgümőkór, csak tenyésztéssel pozitiv, recidiva, kétoldali","Tüdőgümőkór, csak tenyésztéssel pozitiv, recidiva, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A151A","Pulmonary tuberculosis, confirmed only by culture - with a polyresistant pathogen",-1,0,"Tüdőgümőkór, csak tenyésztéssel igazolt - polirezisztens kórokozóval","Tüdőgümőkór, csak tenyésztéssel igazolt - polirezisztens kórokozóval",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253121,"Tuberculosis of lung, confirmed by culture only","Condition","MAPS_TO",,,0,
"A1520","Pulmonary tuberculosis, detected by histological examination",-1,0,"Tüdőgümőkór, szövettani vizsgálattal kimutatott","Tüdőgümőkór, szövettani vizsgálattal kimutatott",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1521","Pulmonary tuberculosis, confirmed by histological examination, no cavern, unilateral",-1,0,"Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, egyoldali","Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1522","Pulmonary tuberculosis, confirmed by histological examination, no caverna, bilateral",-1,0,"Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, kétoldali","Tüdőgümőkór, szövettani vizsg.-al igazolt, caverna nincs, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1523","Pulmonary tuberculosis, confirmed by histological examination, cavernous, unilateral",-1,0,"Tüdőgümőkór, szövettani vizsg.-al igazolt, cavernás, egyoldali","Tüdőgümőkór, szövettani vizsg.-al igazolt, cavernás, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1524","Lung tumor, confirmed by histological examination, cavernous, bilateral",-1,0,"Tüdőgümőkór, szövettani vizsg.-al igazolt, cavernás, kétoldali","Tüdőgümőkór, szövettani vizsg.-al igazolt, cavernás, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1525","Pulmonary tuberculosis, confirmed by histological examination, recurrent, unilateral",-1,0,"Tüdőgümőkór, szövettani vizsg.-al igazolt, recidiva, egyoldali","Tüdőgümőkór, szövettani vizsg.-al igazolt, recidiva, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1526","Pulmonary tuberculosis, confirmed by histological examination, recurrent, bilateral",-1,0,"Tüdőgümőkór, szövettani vizsg.-al igazolt, recidiva, kétoldali","Tüdőgümőkór, szövettani vizsg.-al igazolt, recidiva, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,256018,"Tuberculosis of lung, confirmed histologically","Condition","MAPS_TO",,,0,
"A1530","Pulmonary tuberculosis, k.m.n. way verified",-1,0,"Tüdőgümőkór, k.m.n. módon igazolt","Tüdőgümőkór, k.m.n. módon igazolt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1531","Pulmonary tuberculosis. k.m.n. verified, no caverna, one-sided",-1,0,"Tüdőgümőkór. k.m.n. módon igazolt, caverna nincs, egyoldali","Tüdőgümőkór. k.m.n. módon igazolt, caverna nincs, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1532","Pulmonary tuberculosis. k.m.n. method verified, no caverna, bilateral",-1,0,"Tüdőgümőkór. k.m.n. módon igazolt, caverna nincs, kétoldali","Tüdőgümőkór. k.m.n. módon igazolt, caverna nincs, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1533","Pulmonary tuberculosis. k.m.n. verified, with cavern, one-sided",-1,0,"Tüdőgümőkór. k.m.n. módon igazolt, cavernával, egyoldali","Tüdőgümőkór. k.m.n. módon igazolt, cavernával, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1534","Pulmonary tuberculosis. k.m.n. verified, bilateral with cavern",-1,0,"Tüdőgümőkór. k.m.n. módon igazolt, cavernával kétoldali","Tüdőgümőkór. k.m.n. módon igazolt, cavernával kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1535","Pulmonary tuberculosis. k.m.n. verified, recidivism, one-sided",-1,0,"Tüdőgümőkór. k.m.n. módon igazolt, recidiva, egyoldali","Tüdőgümőkór. k.m.n. módon igazolt, recidiva, egyoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1536","Pulmonary tuberculosis. k.m.n. proven, relapse, bilateral",-1,0,"Tüdőgümőkór. k.m.n. módon igazolt, recidiva, kétoldali","Tüdőgümőkór. k.m.n. módon igazolt, recidiva, kétoldali",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,253954,"Pulmonary tuberculosis","Condition","MAPS_TO",,,0,
"A1540","Tuberculosis of the thoracic lymph node, bacteria. and confirmed by histology",-1,0,"Mellkasi nyirokcsomó gümőkór, bakter. és szövettannal igazolt","Mellkasi nyirokcsomó gümőkór, bakter. és szövettannal igazolt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,134851,"Tuberculosis of intrathoracic lymph nodes","Condition","MAPS_TO",,,0,
"A1541","Tuberculosis of the hilar lymph node, Bakt. and/or tissue. exam verified",-1,0,"Hilusi nyirokcsomó gümőkór, bakt. és/vagy szövett. vizsg. igazolt","Hilusi nyirokcsomó gümőkór, bakt. és/vagy szövett. vizsg. igazolt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,134851,"Tuberculosis of intrathoracic lymph nodes","Condition","MAPS_TO",,,0,
"A1542","Tuberculosis of the mediastinal lymph node, bakt. and/or tissue examination. verified",-1,0,"Mediastinalis nyirokcsomó gümőkór, bakt. és/vagy szöv.vizsg. igazolt","Mediastinalis nyirokcsomó gümőkór, bakt. és/vagy szöv.vizsg. igazolt",1,"APPROVED","EQUIVALENT","Hungarian national Node",0,134851,"Tuberculosis of intrathoracic lymph nodes","Condition","MAPS_TO",,,0,
