source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
210003785,0,,BETOPTIC 5 MG/ML OLDATOS SZEMCSEPP1X5 ML,40019182,RxNorm,2025-05-07,,
210003858,0,,BEZALIP 400 MG RETARD FILMTABLETTA30X,19022958,RxNorm,2025-05-07,,
210004032,0,,BLEMAREN PEZSGŐTABLETTA80X,950435,RxNorm,2025-05-07,,
210004032,0,,BLEMAREN PEZSGŐTABLETTA80X,19027080,RxNorm,2025-05-07,,
210004032,0,,BLEMAREN PEZSGŐTABLETTA80X,977968,RxNorm,2025-05-07,,
210004058,0,,BLOCALCIN 60 MG RETARD TABLETTA50X,19133622,RxNorm,2025-05-07,,
210004066,0,,BLOCALCIN 90 MG RETARD TABLETTA30X,19133612,RxNorm,2025-05-07,,
210004090,0,,BLOKIUM DIU 100 MG/25 MG TABLETTA20X,1314009,RxNorm,2025-05-07,,
210004105,0,,BOLUS ADSTRINGENS TABLETTA50X,35198220,RxNorm Extension,2025-05-07,,
210004105,0,,BOLUS ADSTRINGENS TABLETTA50X,937725,RxNorm,2025-05-07,,
210004105,0,,BOLUS ADSTRINGENS TABLETTA50X,984801,RxNorm,2025-05-07,,
210004113,0,,BOLUS LAXANS TABLETTA40X,19060995,RxNorm,2025-05-07,,
210004113,0,,BOLUS LAXANS TABLETTA40X,984801,RxNorm,2025-05-07,,
210004113,0,,BOLUS LAXANS TABLETTA40X,1036525,RxNorm,2025-05-07,,
210004113,0,,BOLUS LAXANS TABLETTA40X,938268,RxNorm,2025-05-07,,
210004414,0,,"BROMOCRIPTIN-RICHTER 2,5 MG TABLETTA30X",730551,RxNorm,2025-05-07,,
210004600,0,,C-VITAMIN PHARMAVIT 1000 MG PEZSGŐTABLETTA10X,44818275,RxNorm,2025-05-07,,
210004749,0,,CALCIMUSC 100 MG/ML OLDATOS INJEKCIÓ10X5 ML,40018375,RxNorm,2025-05-07,,
210004804,0,,CALCIUM PHARMAVIT 500 MG PEZSGŐTABLETTA20X,44818344,RxNorm,2025-05-07,,
210004943,0,,CALYPSOL 50 MG/ML OLDATOS INJEKCIÓ5X10 ML,40054021,RxNorm,2025-05-07,,
210005070,0,,CRALEX 125 MG TABLETTA40X,1235579,RxNorm Extension,2025-05-07,,
210005088,0,,CRALEX KEMÉNY KAPSZULA50X,1702084,RxNorm,2025-05-07,,
210005151,0,,CATAFLAM 15 MG/ML BELSŐLEGES SZUSZPENZIÓS CSEPPEK15 ML,40032413,RxNorm,2025-05-07,,
210005169,0,,CATAFLAM 50 MG BEVONT TABLETTA20X,40162307,RxNorm,2025-05-07,,
210005216,0,,CAVERJECT 10 MIKROGRAMM POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ1 PORAMP.+1 OLDÓSZERES FECSK.,43712606,RxNorm Extension,2025-05-07,,
210005224,0,,CAVERJECT 20 MIKROGRAMM POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ1 PORAMP.+1 OLDÓSZERES FECSK.,43712606,RxNorm Extension,2025-05-07,,
210005232,0,,CAVINTON 10 MG/2 ML OLDATOS INJEKCIÓ10X2 ML,35852996,RxNorm Extension,2025-05-07,,
210005240,0,,CAVINTON 5 MG TABLETTA50X,19106801,RxNorm,2025-05-07,,
210005258,0,,CAVINTON-VR 5 MG TABLETTA90X,19106801,RxNorm,2025-05-07,,
210005313,0,,CECLOR 375 MG RETARD TABLETTA10X,19096778,RxNorm,2025-05-07,,
210005321,0,,CECLOR 500 MG RETARD TABLETTA10X,19096779,RxNorm,2025-05-07,,
210005339,0,,CECLOR 750 MG RETARD TABLETTA10X,19108075,RxNorm,2025-05-07,,
210005517,0,,CERUCAL 5 MG/ML OLDATOS INJEKCIÓ10X2 ML,41302979,RxNorm Extension,2025-05-07,,
210005525,0,,CERUCAL 10 MG TABLETTA50X,906891,RxNorm,2025-05-07,,
210005606,0,,CHINOFUNGIN KÜLSŐLEGES OLDATOS SPRAY100 G,40089522,RxNorm,2025-05-07,,
210005630,0,,CHINOPAMIL 120 MG RETARD KEMÉNY KAPSZULA30X,40171847,RxNorm,2025-05-07,,
210005648,0,,CHINOPAMIL 180 MG RETARD KEMÉNY KAPSZULA30X,40171861,RxNorm,2025-05-07,,
210005656,0,,CHINOPAMIL 240 MG RETARD KEMÉNY KAPSZULA30X,40171882,RxNorm,2025-05-07,,
210005672,0,,CHINOTAL 100 MG OLDATOS INJEKCIÓ25X5 ML,40897033,RxNorm Extension,2025-05-07,,
210005834,0,,CHOLAGOL BELSŐLEGES OLDATOS CSEPPEK10 ML,19050346,RxNorm,2025-05-07,,
210005834,0,,CHOLAGOL BELSŐLEGES OLDATOS CSEPPEK10 ML,36879114,RxNorm Extension,2025-05-07,,
210005834,0,,CHOLAGOL BELSŐLEGES OLDATOS CSEPPEK10 ML,36026771,RxNorm,2025-05-07,,
210005834,0,,CHOLAGOL BELSŐLEGES OLDATOS CSEPPEK10 ML,36858841,RxNorm Extension,2025-05-07,,
210005834,0,,CHOLAGOL BELSŐLEGES OLDATOS CSEPPEK10 ML,1168079,RxNorm,2025-05-07,,
210005957,0,,CIPROBAY 500 MG FILMTABLETTA10X,19075380,RxNorm,2025-05-07,,
210005981,0,,CISORDINOL-ACUTARD 50 MG/ML OLDATOS INJEKCIÓ10X1 ML,40097163,RxNorm,2025-05-07,,
210006042,0,,CISORDINOL DEPOT 200 MG/ML OLDATOS INJEKCIÓ10X1 ML,40097163,RxNorm,2025-05-07,,
210006068,0,,"CISPLATIN SANDOZ 0,5 MG/ML KONCENTRÁTUM OLDATOS INFÚZIÓHOZ1X20 ML(10 MG/20 ML)",36785435,RxNorm Extension,2025-05-07,,
210006076,0,,"CISPLATIN SANDOZ 0,5 MG/ML KONCENTRÁTUM OLDATOS INFÚZIÓHOZ1X50 ML (25MG/50 ML)",36785435,RxNorm Extension,2025-05-07,,
210006084,0,,"CISPLATIN SANDOZ 0,5 MG/ML KONCENTRÁTUM OLDATOS INFÚZIÓHOZ1X100 ML (50 MG/100 ML)",36785435,RxNorm Extension,2025-05-07,,
210006165,0,,CLARITINE 10 MG TABLETTA20X,1107882,RxNorm,2025-05-07,,
210006181,0,,"CLEXANE 2000 NE (20 MG)/0,2 ML OLDATOS INJEKCIÓ ELŐRETÖLTÖTT FECSKENDŐBEN2X",40042752,RxNorm,2025-05-07,,
210006199,0,,"CLEXANE 4000 NE (40 MG)/0,4 ML OLDATOS INJEKCIÓ ELŐRETÖLTÖTT FECSKENDŐBEN2X",40042752,RxNorm,2025-05-07,,
210006204,0,,CLOSTILBEGYT 50 MG TABLETTA10X,40236648,RxNorm,2025-05-07,,
210006212,0,,"CO-RENITEC 20 MG/12,5 MG TABLETTA28X",40165771,RxNorm,2025-05-07,,
210006270,0,,CODERIT N 20 MG/20 MG TABLETTA20X,40029209,RxNorm,2025-05-07,,
210006301,0,,COLCHICUM-DISPERT BEVONT TABLETTA20X,19018901,RxNorm,2025-05-07,,
210006319,0,,COLDASTOP 15000 NE/ML+20 MG/ML OLDATOS ORRCSEPP20 ML,19008339,RxNorm,2025-05-07,,
210006319,0,,COLDASTOP 15000 NE/ML+20 MG/ML OLDATOS ORRCSEPP20 ML,42709318,RxNorm,2025-05-07,,
210006327,0,,COLDREX TABLETTA12X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),19011773,RxNorm,2025-05-07,,
210006327,0,,COLDREX TABLETTA12X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),1134439,RxNorm,2025-05-07,,
210006327,0,,COLDREX TABLETTA12X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),1125315,RxNorm,2025-05-07,,
210006327,0,,COLDREX TABLETTA12X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),1135766,RxNorm,2025-05-07,,
210006327,0,,COLDREX TABLETTA12X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),19059707,RxNorm,2025-05-07,,
210006335,0,,COLDREX TABLETTA24X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),19011773,RxNorm,2025-05-07,,
210006335,0,,COLDREX TABLETTA24X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),1134439,RxNorm,2025-05-07,,
210006335,0,,COLDREX TABLETTA24X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),1125315,RxNorm,2025-05-07,,
210006335,0,,COLDREX TABLETTA24X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),1135766,RxNorm,2025-05-07,,
210006335,0,,COLDREX TABLETTA24X (BUBORÉKFÓLIÁBAN ÉS DOBOZBAN),19059707,RxNorm,2025-05-07,,
210006432,0,,CONCOR 5 MG FILMTABLETTA100X,40162878,RxNorm,2025-05-07,,
210006440,0,,CONCOR 5 MG FILMTABLETTA30X (3X10),40162878,RxNorm,2025-05-07,,
210006458,0,,CONCOR 10 MG FILMTABLETTA100X,40162867,RxNorm,2025-05-07,,
210006466,0,,CONCOR 10 MG FILMTABLETTA30X,40162867,RxNorm,2025-05-07,,
210006482,0,,CONDROSULF 400 MG KEMÉNY KAPSZULA60X,1395598,RxNorm,2025-05-07,,
210006505,0,,CONTRACTUBEX GÉL20 G,966376,RxNorm,2025-05-07,,
210006505,0,,CONTRACTUBEX GÉL20 G,42903612,RxNorm,2025-05-07,,
210006505,0,,CONTRACTUBEX GÉL20 G,35884360,RxNorm Extension,2025-05-07,,
210006513,0,,CONTRACTUBEX GÉL50 G,966376,RxNorm,2025-05-07,,
210006513,0,,CONTRACTUBEX GÉL50 G,42903612,RxNorm,2025-05-07,,
210006513,0,,CONTRACTUBEX GÉL50 G,35884360,RxNorm Extension,2025-05-07,,
210006597,0,,CONVULEX 150 MG GYOMORNEDV-ELLENÁLLÓ LÁGY KAPSZULA100X (PVC/PVDC/ALU),40823898,RxNorm Extension,2025-05-07,,
210006602,0,,CONVULEX 300 MG GYOMORNEDV-ELLENÁLLÓ LÁGY KAPSZULA100X (PVC/PVDC/ALU),41270420,RxNorm Extension,2025-05-07,,
210006610,0,,CONVULEX 500 MG GYOMORNEDV-ELLENÁLLÓ LÁGY KAPSZULA100X (PVC/PVDC/ALU),41146168,RxNorm Extension,2025-05-07,,
210006628,0,,CONVULEX 50 MG/ML SZIRUP GYERMEKEKNEK100 ML,21171415,RxNorm Extension,2025-05-07,,
210006678,0,,CORDAFLEX 20 MG RETARD FILMTABLETTA60X,1318887,RxNorm,2025-05-07,,
210006686,0,,CORDAFLEX 10 MG FILMTABLETTA100X,1318914,RxNorm,2025-05-07,,
210006694,0,,CORDAFLEX 5 MG/DÓZIS SZÁJNYÁLKAHÁRTYÁN ALKALMAZOTT SPRAY1X22 G,1318853,RxNorm,2025-05-07,,
210006709,0,,CORDARONE 200 MG TABLETTA60X,1309992,RxNorm,2025-05-07,,
210006717,0,,CORDARONE 50 MG/ML OLDATOS INJEKCIÓ5X3 ML AMPULLA MűANYAGTÁLCÁBAN ÉS DOBOZBAN,21105785,RxNorm Extension,2025-05-07,,
210006767,0,,"CORMAGNESIN 2,0475 G/10 ML OLDATOS INJEKCIÓ1000X10 ML",40063181,RxNorm,2025-05-07,,
210006775,0,,"CORMAGNESIN 2,0475 G/10 ML OLDATOS INJEKCIÓ100X10 ML",40063181,RxNorm,2025-05-07,,
210006783,0,,"CORMAGNESIN 2,0475 G/10 ML OLDATOS INJEKCIÓ10X10 ML",40063181,RxNorm,2025-05-07,,
210006791,0,,"CORMAGNESIN 2,0475 G/10 ML OLDATOS INJEKCIÓ500X10 ML",40063181,RxNorm,2025-05-07,,
210006806,0,,"CORMAGNESIN 2,0475 G/10 ML OLDATOS INJEKCIÓ50X10 ML",40063181,RxNorm,2025-05-07,,
210006814,0,,"CORMAGNESIN 4,095 G/10 ML OLDATOS INJEKCIÓ1000X10 ML",40063181,RxNorm,2025-05-07,,
210006822,0,,"CORMAGNESIN 4,095 G/10 ML OLDATOS INJEKCIÓ100X10 ML",40063181,RxNorm,2025-05-07,,
210006830,0,,"CORMAGNESIN 4,095 G/10 ML OLDATOS INJEKCIÓ10X10 ML",40063181,RxNorm,2025-05-07,,
210006848,0,,"CORMAGNESIN 4,095 G/10 ML OLDATOS INJEKCIÓ500X10 ML",40063181,RxNorm,2025-05-07,,
210006856,0,,"CORMAGNESIN 4,095 G/10 ML OLDATOS INJEKCIÓ50X10 ML",40063181,RxNorm,2025-05-07,,
210006903,0,,COVEREX 4 MG TABLETTA30X,40163271,RxNorm,2025-05-07,,
210007030,0,,CUSIMOLOL 5 MG/ML OLDATOS SZEMCSEPP1X5 ML,40087912,RxNorm,2025-05-07,,
210007137,0,,CYMEVENE 500 MG POR OLDATOS INFÚZIÓHOZ VALÓ KONCENTRÁTUMHOZ1X,36783770,RxNorm Extension,2025-05-07,,
210007195,0,,CYTOSAR 20 MG/ML POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ1X INJ.ÜV.+1X5 ML OLÓSZER AMP.,41242653,RxNorm Extension,2025-05-07,,
210007200,0,,CYTOSAR 50 MG/ML POR ÉS OLDÓSZER OLDATOS INJEKCIÓHOZ1X INJ.ÜV.+1X10 ML OLÓSZER AMP.,44071685,RxNorm Extension,2025-05-07,,
210007218,0,,CYTOSAR 1 G POR OLDATOS INJEKCIÓHOZ1X INJ.ÜV.,44032873,RxNorm Extension,2025-05-07,,
210007357,0,,DAEDALON 50 MG TABLETTA10X,19020367,RxNorm,2025-05-07,,
210007365,0,,DAEDALON VÉGBÉLKÚP10X,19092412,RxNorm,2025-05-07,,
210007365,0,,DAEDALON VÉGBÉLKÚP10X,928744,RxNorm,2025-05-07,,
210007373,0,,DAEDALONETTA VÉGBÉLKÚP GYERMEKEKNEK10X,19092412,RxNorm,2025-05-07,,
210007373,0,,DAEDALONETTA VÉGBÉLKÚP GYERMEKEKNEK10X,928744,RxNorm,2025-05-07,,
210007404,0,,DALACIN 150 MG KEMÉNY KAPSZULA100X,997892,RxNorm,2025-05-07,,
210007412,0,,DALACIN 150 MG KEMÉNY KAPSZULA16X,997892,RxNorm,2025-05-07,,
210007420,0,,DALACIN 300 MG KEMÉNY KAPSZULA16X,997899,RxNorm,2025-05-07,,
210007488,0,,DALACIN 10 MG/ML KÜLSŐLEGES EMULZIÓ30 ML (TARTÁLYBAN),40030894,RxNorm,2025-05-07,,
210007501,0,,DALACIN 20 MG/G HÜVELYKRÉM40 G,40030899,RxNorm,2025-05-07,,
210007632,0,,DECARIS 150 MG TABLETTA1X,19106107,RxNorm,2025-05-07,,
210007640,0,,DECARIS 50 MG TABLETTA2X,19002857,RxNorm,2025-05-07,,
210007666,0,,DELAGIL 250 MG TABLETTA30X,40241955,RxNorm,2025-05-07,,
210007802,0,,DEPAKINE CHRONO 300 MG RETARD FILMTABLETTA100X,745466,RxNorm,2025-05-07,,
210007802,0,,DEPAKINE CHRONO 300 MG RETARD FILMTABLETTA100X,745466,RxNorm,2025-05-07,,
210007810,0,,DEPAKINE CHRONO 500 MG RETARD FILMTABLETTA30X,745466,RxNorm,2025-05-07,,
210007810,0,,DEPAKINE CHRONO 500 MG RETARD FILMTABLETTA30X,745466,RxNorm,2025-05-07,,
210007975,0,,DERMAZIN 10 MG/G KRÉM50 G,966956,RxNorm,2025-05-07,,
210008002,0,,DERMOVATE KENŐCS25 G,40031310,RxNorm,2025-05-07,,
210008010,0,,DERMOVATE KRÉM25 G,21124845,RxNorm Extension,2025-05-07,,
210008028,0,,DERMOVATE KÜLSŐLEGES OLDAT25 ML,40109005,RxNorm,2025-05-07,,
210008036,0,,"DESFERAL 0,5 G POR OLDATOS INFÚZIÓHOZ10X",35605636,RxNorm,2025-05-07,,
210008060,0,,DETRALEX 500 MG FILMTABLETTA30X,19107567,RxNorm,2025-05-07,,
210008272,0,,DIAPHYLLIN 150 MG TABLETTA100X,36893633,RxNorm Extension,2025-05-07,,
210008280,0,,DIAPHYLLIN 150 MG TABLETTA20X,36893633,RxNorm Extension,2025-05-07,,
210008303,0,,DIAPHYLLIN VENOSUM 48 MG/ML OLDATOS INJEKCIÓ5X5 ML,40007627,RxNorm,2025-05-07,,
210008353,0,,DIAZEPAM DESITIN 5 MG VÉGBÉLOLDAT5X1,43708095,RxNorm Extension,2025-05-07,,
210008361,0,,DIAZEPAM DESITIN 10 MG VÉGBÉLOLDAT5X1,43708095,RxNorm Extension,2025-05-07,,
210008387,0,,DICETEL 50 MG FILMTABLETTA20X,19025200,RxNorm,2025-05-07,,
210008395,0,,DICETEL 50 MG FILMTABLETTA50X,19025200,RxNorm,2025-05-07,,
210008418,0,,DICLOFENAC STADA 100 MG RETARD FILMTABLETTA100X,40162326,RxNorm,2025-05-07,,
210008426,0,,DICLOFENAC STADA 100 MG RETARD FILMTABLETTA20X,40162326,RxNorm,2025-05-07,,
210008434,0,,DICLOFENAC STADA 100 MG RETARD FILMTABLETTA50X,40162326,RxNorm,2025-05-07,,
210008581,0,,DICLOFENAC DUO PHARMAVIT 75 MG KEMÉNY KAPSZULA30X,36887789,RxNorm Extension,2025-05-07,,
210008662,0,,DICYNONE 125 MG/ML OLDATOS INJEKCIÓ10X2 ML,35855096,RxNorm Extension,2025-05-07,,
210008696,0,,DIFLUCAN 50 MG KEMÉNY KAPSZULA7X,1755001,RxNorm,2025-05-07,,
210008701,0,,DIFLUCAN 100 MG KEMÉNY KAPSZULA28X,19022584,RxNorm,2025-05-07,,
