IngredientCode,IngredientName,IngredientNameEnglish,CASNumber,MatchString,SourceCount,concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason,ATC
ABEMACICLIB,ABEMACICLIB,ABEMACICLIB,,"SourceTerm - Ingredient Term (""ABEMACICLIB"")",-1,792649,ABEMACICLIB,Drug,RxNorm,Ingredient,S,1946825,2018-02-05,2099-12-31,,L01EF03
ABIRATERONE,ABIRATERONE,ABIRATERONE,,"SourceTerm - Ingredient Term (""ABIRATERONE"")",-1,40239056,ABIRATERONE,Drug,RxNorm,Ingredient,S,1100072,2011-06-05,2099-12-31,,L02BX03
ABROCITINIB,ABROCITINIB,ABROCITINIB,,"SourceTerm - Ingredient Term (""ABROCITINIB"")",-1,1758974,ABROCITINIB,Drug,RxNorm,Ingredient,S,2591476,2022-03-07,2099-12-31,,
ACALABRUTINIB,ACALABRUTINIB,ACALABRUTINIB,,"SourceTerm - Ingredient Term (""ACALABRUTINIB"")",-1,792764,ACALABRUTINIB,Drug,RxNorm,Ingredient,S,1986808,2018-02-05,2099-12-31,,L01EL02
ACECLOFENAC,ACECLOFENAC,ACECLOFENAC,,"SourceTerm - Ingredient Term (""ACECLOFENAC"")",-1,19029393,ACECLOFENAC,Drug,RxNorm,Ingredient,S,16689,1970-01-01,2099-12-31,,
ACEMETACIN,ACEMETACIN,ACEMETACIN,,"SourceTerm - Ingredient Term (""ACEMETACIN"")",-1,19029398,ACEMETACIN,Drug,RxNorm,Ingredient,S,16695,1970-01-01,2099-12-31,,M01AB11
ACENOCOUMAROL,ACENOCOUMAROL,ACENOCOUMAROL,,"SourceTerm - Ingredient Term (""ACENOCOUMAROL"")",-1,19024063,ACENOCOUMAROL,Drug,RxNorm,Ingredient,S,154,1970-01-01,2099-12-31,,B01AA07
ACETAZOLAMIDE,ACETAZOLAMIDE,ACETAZOLAMIDE,,"SourceTerm - Ingredient Term (""ACETAZOLAMIDE"")",-1,929435,ACETAZOLAMIDE,Drug,RxNorm,Ingredient,S,167,1970-01-01,2099-12-31,,S01EC01
ACETYLCYSTEINE,ACETYLCYSTEINE,ACETYLCYSTEINE,,"SourceTerm - Ingredient Term (""ACETYLCYSTEINE"")",-1,1139042,ACETYLCYSTEINE,Drug,RxNorm,Ingredient,S,197,1970-01-01,2099-12-31,,V03AB23
ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,ACETYLSALICYLIC ACID,,"SourceTerm - Ingredient Relationship Synonym of ""Substance"" with relation ""SNOMED - RxNorm eq"" - Filter on best fit (""ACETYLSALICYLIC ACID"")",-1,1112807,ASPIRIN,Drug,RxNorm,Ingredient,S,1191,1970-01-01,2099-12-31,,
ACHILLEAE HERBA,ACHILLEAE HERBA,ACHILLEAE HERBA,,"Manual Overrule Mapping (Orphan ingredient) (""ACHILLEAE HERBA"")",-1,35605268,ACHILLEA MILLEFOLIUM OIL,Drug,RxNorm,Ingredient,S,1740240,2016-05-02,2099-12-31,,
ACICLOVIR,ACICLOVIR,ACICLOVIR,,"SourceTerm - Ingredient Term (Standardised) (""ACICLOVIR"")",-1,1703687,ACYCLOVIR,Drug,RxNorm,Ingredient,S,281,1970-01-01,2099-12-31,,
ACIPIMOX,ACIPIMOX,ACIPIMOX,,"SourceTerm - Ingredient Term (""ACIPIMOX"")",-1,19029644,ACIPIMOX,Drug,RxNorm,Ingredient,S,16817,1970-01-01,2099-12-31,,C10AD06
ACITRETIN,ACITRETIN,ACITRETIN,,"SourceTerm - Ingredient Term (""ACITRETIN"")",-1,929638,ACITRETIN,Drug,RxNorm,Ingredient,S,16818,1970-01-01,2099-12-31,,D05BB02
ACRIFLAVINE,ACRIFLAVINE,ACRIFLAVINE,,"SourceTerm - Ingredient Term (""ACRIFLAVINE"")",-1,19095766,ACRIFLAVINE,Drug,RxNorm,Ingredient,S,249,1970-01-01,2099-12-31,,
ADALIMUMAB,ADALIMUMAB,ADALIMUMAB,,"SourceTerm - Ingredient Term (""ADALIMUMAB"")",-1,1119119,ADALIMUMAB,Drug,RxNorm,Ingredient,S,327361,1970-01-01,2099-12-31,,L04AB04
ADAPALENE,ADAPALENE,ADAPALENE,,"SourceTerm - Ingredient Term (""ADAPALENE"")",-1,981774,ADAPALENE,Drug,RxNorm,Ingredient,S,60223,1970-01-01,2099-12-31,,
ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,ADEFOVIR DIPIVOXIL,,"SourceTerm - Ingredient Relationship ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""ADEFOVIR DIPIVOXIL"")",-1,1729323,ADEFOVIR,Drug,RxNorm,Ingredient,S,16521,1970-01-01,2099-12-31,,J05AF08
ADENOSINE,ADENOSINE,ADENOSINE,,"SourceTerm - Ingredient Term (""ADENOSINE"")",-1,1309204,ADENOSINE,Drug,RxNorm,Ingredient,S,296,1970-01-01,2099-12-31,,C01EB10
AETHEROLEUM EUCALYPTI,AETHEROLEUM EUCALYPTI,AETHEROLEUM EUCALYPTI,,"Manual Overrule Mapping (""AETHEROLEUM EUCALYPTI"")",-1,19050346,EUCALYPTOL,Drug,RxNorm,Ingredient,S,21116,1970-01-01,2099-12-31,,R05CA13
AETHEROLEUM FOENICULI,AETHEROLEUM FOENICULI,AETHEROLEUM FOENICULI,,"Manual Overrule Mapping (""AETHEROLEUM FOENICULI"")",-1,36879114,ROSAE AETHEROLEUM EXTRACT,Drug,RxNorm Extension,Ingredient,S,OMOP994333,1970-01-01,2099-12-31,,
AETHEROLEUM MENTHAE PIPERITAE,AETHEROLEUM MENTHAE PIPERITAE,AETHEROLEUM MENTHAE PIPERITAE,,"Manual Overrule Mapping (""AETHEROLEUM MENTHAE PIPERITAE"")",-1,36879114,ROSAE AETHEROLEUM EXTRACT,Drug,RxNorm Extension,Ingredient,S,OMOP994333,1970-01-01,2099-12-31,,
AETHEROLEUM MILLEFOLII,AETHEROLEUM MILLEFOLII,AETHEROLEUM MILLEFOLII,,"Manual Overrule Mapping (""AETHEROLEUM MILLEFOLII"")",-1,43525846,ACHILLEA MILLEFOLIUM EXTRACT,Drug,RxNorm,Ingredient,S,1372250,2013-04-01,2099-12-31,,
AETHEROLEUM TEREBINTHINAE,AETHEROLEUM TEREBINTHINAE,AETHEROLEUM TEREBINTHINAE,,"Manual Overrule Mapping (Orphan ingredient) (""AETHEROLEUM TEREBINTHINAE"")",-1,36249368,PINUS SYLVESTRIS WHOLE EXTRACT,Drug,RxNorm,Ingredient,S,1800666,2016-08-01,2099-12-31,,
AETHEROLEUM THYMI,AETHEROLEUM THYMI,AETHEROLEUM THYMI,,"First 2 words + "" EXTRACT"" from SourceTerm - Ingredient Term (Sorted) (""AETHEROLEUM THYMI EXTRACT"")",-1,36878840,THYMI AETHEROLEUM EXTRACT,Drug,RxNorm Extension,Ingredient,S,OMOP995879,1970-01-01,2099-12-31,,
AFATINIB,AFATINIB,AFATINIB,,"SourceTerm - Ingredient Term (""AFATINIB"")",-1,43533090,AFATINIB,Drug,RxNorm,Ingredient,S,1430438,2013-08-05,2099-12-31,,
AFLIBERCEPT,AFLIBERCEPT,AFLIBERCEPT,,"SourceTerm - Ingredient Term (""AFLIBERCEPT"")",-1,40244266,AFLIBERCEPT,Drug,RxNorm,Ingredient,S,1232150,2011-12-04,2099-12-31,,
AGALSIDASE ALFA,AGALSIDASE ALFA,AGALSIDASE ALFA,,"SourceTerm - Ingredient Term (""AGALSIDASE ALFA"")",-1,36878851,AGALSIDASE ALFA,Drug,RxNorm Extension,Ingredient,S,OMOP992872,2011-01-25,2099-12-31,,A16AB03
AGALSIDASE BETA,AGALSIDASE BETA,AGALSIDASE BETA,,"SourceTerm - Ingredient Term (""AGALSIDASE BETA"")",-1,1525746,AGALSIDASE BETA,Drug,RxNorm,Ingredient,S,338817,1970-01-01,2099-12-31,,A16AB04
AGOMELATINE,AGOMELATINE,AGOMELATINE,,"SourceTerm - Ingredient Term (""AGOMELATINE"")",-1,36878783,AGOMELATINE,Drug,RxNorm Extension,Ingredient,S,OMOP997499,2014-10-14,2099-12-31,,N06AX22
AGRIMONIAE HERBA,AGRIMONIAE HERBA,AGRIMONIAE HERBA,,"Manual Overrule Mapping (""AGRIMONIAE HERBA"")",-1,44012488,AGRIMONIA ODORATA FLOS,Drug,RxNorm Extension,Ingredient,S,OMOP1131428,1970-01-01,2099-12-31,,
AKLIDINIUM BROMID,AKLIDINIUM BROMID,AKLIDINIUM BROMID,,"ATC - RxNorm (""R03BB05"")",-1,42873639,ACLIDINIUM,Drug,RxNorm,Ingredient,S,1303098,2012-08-06,2099-12-31,,
ALANINE,ALANINE,ALANINE,,"SourceTerm - Ingredient Term (""ALANINE"")",-1,19052489,ALANINE,Drug,RxNorm,Ingredient,S,426,1970-01-01,2099-12-31,,
ALANYL GLUTAMINE,ALANYL GLUTAMINE,ALANYL GLUTAMINE,,"SourceTerm - Ingredient Term (Standardised) (""ALANYL GLUTAMINE"")",-1,42904285,ALANYLGLUTAMINE,Drug,RxNorm,Ingredient,S,1359422,2012-12-03,2099-12-31,,B05XB02
ALBUMIN TANNATE,ALBUMIN TANNATE,ALBUMIN TANNATE,,"SourceTerm - Ingredient Term (""ALBUMIN TANNATE"")",-1,35198220,ALBUMIN TANNATE,Drug,RxNorm Extension,Ingredient,S,OMOP4819585,1970-01-01,2099-12-31,,
ALECTINIB,ALECTINIB,ALECTINIB,,"SourceTerm - Ingredient Term (""ALECTINIB"")",-1,35604657,ALECTINIB,Drug,RxNorm,Ingredient,S,1727455,2016-05-02,2099-12-31,,
ALEMTUZUMAB,ALEMTUZUMAB,ALEMTUZUMAB,,"SourceTerm - Ingredient Term (""ALEMTUZUMAB"")",-1,1312706,ALEMTUZUMAB,Drug,RxNorm,Ingredient,S,117055,1970-01-01,2099-12-31,,L04AA34
ALENDRONIC ACID,ALENDRONIC ACID,ALENDRONIC ACID,,"SourceTerm - Ingredient Relationship ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""ALENDRONIC ACID"")",-1,1557272,ALENDRONATE,Drug,RxNorm,Ingredient,S,46041,1970-01-01,2099-12-31,,M05BB06
ALFACALCIDOL,ALFACALCIDOL,ALFACALCIDOL,,"SourceTerm - Ingredient Term (""ALFACALCIDOL"")",-1,19014202,ALFACALCIDOL,Drug,RxNorm,Ingredient,S,12062,1970-01-01,2099-12-31,,M05BB06
ALFUZOSIN,ALFUZOSIN,ALFUZOSIN,,"SourceTerm - Ingredient Term (""ALFUZOSIN"")",-1,930021,ALFUZOSIN,Drug,RxNorm,Ingredient,S,17300,1970-01-01,2099-12-31,,
ALGINIC ACID,ALGINIC ACID,ALGINIC ACID,,"SourceTerm - Ingredient Term (""ALGINIC ACID"")",-1,19030059,ALGINIC ACID,Drug,RxNorm,Ingredient,S,17305,1970-01-01,2099-12-31,,A02BX13
ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA,ALGLUCOSIDASE ALFA,,"SourceTerm - Ingredient Term (""ALGLUCOSIDASE ALFA"")",-1,19088328,ALGLUCOSIDASE ALFA,Drug,RxNorm,Ingredient,S,629565,2006-06-04,2099-12-31,,A16AB07
ALIROCUMAB,ALIROCUMAB,ALIROCUMAB,,"SourceTerm - Ingredient Term (""ALIROCUMAB"")",-1,46275447,ALIROCUMAB,Drug,RxNorm,Ingredient,S,1659152,2015-09-08,2099-12-31,,C10AX14
ALISKIREN,ALISKIREN,ALISKIREN,,"SourceTerm - Ingredient Term (""ALISKIREN"")",-1,1317967,ALISKIREN,Drug,RxNorm,Ingredient,S,325646,2007-04-01,2099-12-31,,
ALLANTOIN,ALLANTOIN,ALLANTOIN,,"SourceTerm - Ingredient Term (""ALLANTOIN"")",-1,966376,ALLANTOIN,Drug,RxNorm,Ingredient,S,508,1970-01-01,2099-12-31,,
ALLOPURINOL,ALLOPURINOL,ALLOPURINOL,,"SourceTerm - Ingredient Term (""ALLOPURINOL"")",-1,1167322,ALLOPURINOL,Drug,RxNorm,Ingredient,S,519,1970-01-01,2099-12-31,,
ALOGLIPTIN,ALOGLIPTIN,ALOGLIPTIN,,"SourceTerm - Ingredient Term (""ALOGLIPTIN"")",-1,43013884,ALOGLIPTIN,Drug,RxNorm,Ingredient,S,1368001,2013-03-04,2099-12-31,,
ALPRAZOLAM,ALPRAZOLAM,ALPRAZOLAM,,"SourceTerm - Ingredient Term (""ALPRAZOLAM"")",-1,781039,ALPRAZOLAM,Drug,RxNorm,Ingredient,S,596,1970-01-01,2099-12-31,,N05BA12
ALPROSTADIL,ALPROSTADIL,ALPROSTADIL,,"SourceTerm - Ingredient Term (""ALPROSTADIL"")",-1,1381504,ALPROSTADIL,Drug,RxNorm,Ingredient,S,598,1970-01-01,2099-12-31,,G04BE01
ALTEPLASE,ALTEPLASE,ALTEPLASE,,"SourceTerm - Ingredient Term (""ALTEPLASE"")",-1,1347450,ALTEPLASE,Drug,RxNorm,Ingredient,S,8410,1970-01-01,2099-12-31,,
ALUMINIUM CHLORIDE,ALUMINIUM CHLORIDE,ALUMINIUM CHLORIDE,,"SourceTerm - Ingredient Relationship Synonym of ""Substance"" with relation ""SNOMED - RxNorm eq"" - Filter on best fit (""ALUMINIUM CHLORIDE"")",-1,957393,ALUMINUM CHLORIDE,Drug,RxNorm,Ingredient,S,46241,1970-01-01,2099-12-31,,D10AX30
ALUMINIUM OXIDE,ALUMINIUM OXIDE,ALUMINIUM OXIDE,,"SourceTerm - Synonym Term Synonym of (""ALUMINIUM OXIDE"")",-1,19123348,ALUMINUM OXIDE,Drug,RxNorm,Ingredient,S,615,1970-01-01,2099-12-31,,D10AX04
ALUMINIUM-FOSZFÁT,ALUMINIUM-FOSZFÁT,ALUMINIUM-FOSZFÁT,,"First 1 words from SourceTerm - Ingredient Relationship Synonym of ""Substance"" with relation ""SNOMED - RxNorm eq"" - Filter on best fit (""ALUMINIUM"")",-1,42898412,ALUMINUM,Drug,RxNorm,Ingredient,S,1311504,2012-10-01,2099-12-31,,
ALUMINUM ACETOTARTRATE,ALUMINUM ACETOTARTRATE,ALUMINUM ACETOTARTRATE,,"SourceTerm - Ingredient Term (""ALUMINUM ACETOTARTRATE"")",-1,19112524,ALUMINUM ACETOTARTRATE,Drug,RxNorm,Ingredient,S,46239,1970-01-01,2099-12-31,,S02AA04
ALVERINE,ALVERINE,ALVERINE,,"SourceTerm - Ingredient Term (""ALVERINE"")",-1,19030751,ALVERINE,Drug,RxNorm,Ingredient,S,17627,1970-01-01,2099-12-31,,
AMANTADINE,AMANTADINE,AMANTADINE,,"SourceTerm - Ingredient Term (""AMANTADINE"")",-1,19087090,AMANTADINE,Drug,RxNorm,Ingredient,S,620,1970-01-01,2099-12-31,,N04BB01
AMBRISENTAN,AMBRISENTAN,AMBRISENTAN,,"SourceTerm - Ingredient Term (""AMBRISENTAN"")",-1,1337068,AMBRISENTAN,Drug,RxNorm,Ingredient,S,358274,2007-07-29,2099-12-31,,C02KX02
AMBROXOL,AMBROXOL,AMBROXOL,,"SourceTerm - Ingredient Term (""AMBROXOL"")",-1,19088167,AMBROXOL,Drug,RxNorm,Ingredient,S,625,1970-01-01,2099-12-31,,R05CB06
AMIKACIN,AMIKACIN,AMIKACIN,,"SourceTerm - Ingredient Term (""AMIKACIN"")",-1,1790868,AMIKACIN,Drug,RxNorm,Ingredient,S,641,1970-01-01,2099-12-31,,J01RA06
AMILORIDE,AMILORIDE,AMILORIDE,,"SourceTerm - Ingredient Term (""AMILORIDE"")",-1,991382,AMILORIDE,Drug,RxNorm,Ingredient,S,644,1970-01-01,2099-12-31,,C03DB01
AMINOCAPROIC ACID,AMINOCAPROIC ACID,AMINOCAPROIC ACID,,"SourceTerm - Synonym Term Synonym of (""AMINOCAPROIC ACID"")",-1,1369939,6-AMINOCAPROIC ACID,Drug,RxNorm,Ingredient,S,99,1970-01-01,2099-12-31,,B02AA01
AMINOLEVULINIC ACID,AMINOLEVULINIC ACID,AMINOLEVULINIC ACID,,"SourceTerm - Ingredient Term (""AMINOLEVULINIC ACID"")",-1,904351,AMINOLEVULINIC ACID,Drug,RxNorm,Ingredient,S,683,1970-01-01,2099-12-31,,L01XD04
AMINOPHYLLINE,AMINOPHYLLINE,AMINOPHYLLINE,,"SourceTerm - Ingredient Term (""AMINOPHYLLINE"")",-1,1105775,AMINOPHYLLINE,Drug,RxNorm,Ingredient,S,689,1970-01-01,2099-12-31,,R03DB05
AMIODARONE,AMIODARONE,AMIODARONE,,"SourceTerm - Ingredient Term (""AMIODARONE"")",-1,1309944,AMIODARONE,Drug,RxNorm,Ingredient,S,703,1970-01-01,2099-12-31,,C01BD01
AMISULPRIDE,AMISULPRIDE,AMISULPRIDE,,"SourceTerm - Ingredient Term (""AMISULPRIDE"")",-1,19057607,AMISULPRIDE,Drug,RxNorm,Ingredient,S,46303,1970-01-01,2099-12-31,,N05AL05
AMITRIPTYLINE,AMITRIPTYLINE,AMITRIPTYLINE,,"SourceTerm - Ingredient Term (""AMITRIPTYLINE"")",-1,710062,AMITRIPTYLINE,Drug,RxNorm,Ingredient,S,704,1970-01-01,2099-12-31,,
AMLODIPIN-BEZILÁT,AMLODIPIN-BEZILÁT,AMLODIPIN-BEZILÁT,,"First 1 words from SourceTerm - Ingredient Term (Standardised) (""AMLODIPIN"")",-1,1332418,AMLODIPINE,Drug,RxNorm,Ingredient,S,17767,1970-01-01,2099-12-31,,C10BX07
AMLODIPINE,AMLODIPINE,AMLODIPINE,,"SourceTerm - Ingredient Term (""AMLODIPINE"")",-1,1332418,AMLODIPINE,Drug,RxNorm,Ingredient,S,17767,1970-01-01,2099-12-31,,C10BX07
AMMONIUM METAVANADATE,AMMONIUM METAVANADATE,AMMONIUM METAVANADATE,,"First 1 words from SourceTerm - Ingredient Term (""AMMONIUM"")",-1,19126894,AMMONIUM,Drug,RxNorm,Ingredient,S,709,1970-01-01,2099-12-31,,
AMMONIUM MOLYBDATE TETRAHYDRATE,AMMONIUM MOLYBDATE TETRAHYDRATE,AMMONIUM MOLYBDATE TETRAHYDRATE,,"First 2 words from SourceTerm - Ingredient Relationship ""Precise Ingredient"" with relation ""Form of"" - Filter on best fit (""AMMONIUM MOLYBDATE"")",-1,19009896,MOLYBDENUM,Drug,RxNorm,Ingredient,S,7024,1970-01-01,2099-12-31,,
AMOROLFINE,AMOROLFINE,AMOROLFINE,,"SourceTerm - Ingredient Term (""AMOROLFINE"")",-1,19032619,AMOROLFINE,Drug,RxNorm,Ingredient,S,17804,1970-01-01,2099-12-31,,D01AE16
AMOXICILLIN,AMOXICILLIN,AMOXICILLIN,,"SourceTerm - Ingredient Term (""AMOXICILLIN"")",-1,1713332,AMOXICILLIN,Drug,RxNorm,Ingredient,S,723,1970-01-01,2099-12-31,,
AMPHOTERICIN B,AMPHOTERICIN B,AMPHOTERICIN B,,"SourceTerm - Ingredient Term (""AMPHOTERICIN B"")",-1,1717240,AMPHOTERICIN B,Drug,RxNorm,Ingredient,S,732,1970-01-01,2099-12-31,,J02AA01
AMPICILLIN,AMPICILLIN,AMPICILLIN,,"SourceTerm - Ingredient Term (""AMPICILLIN"")",-1,1717327,AMPICILLIN,Drug,RxNorm,Ingredient,S,733,1970-01-01,2099-12-31,,
AMYLASE,AMYLASE,AMYLASE,,"SourceTerm - Ingredient Term (""AMYLASE"")",-1,919204,AMYLASE,Drug,RxNorm,Ingredient,S,743,1970-01-01,2099-12-31,,A09AA01
AMYLMETACRESOL,AMYLMETACRESOL,AMYLMETACRESOL,,"SourceTerm - Ingredient Term (""AMYLMETACRESOL"")",-1,19055907,AMYLMETACRESOL,Drug,RxNorm,Ingredient,S,236248,1970-01-01,2099-12-31,,
ANAGRELIDE,ANAGRELIDE,ANAGRELIDE,,"SourceTerm - Ingredient Term (""ANAGRELIDE"")",-1,1381253,ANAGRELIDE,Drug,RxNorm,Ingredient,S,596724,2006-01-15,2099-12-31,,
ANAKINRA,ANAKINRA,ANAKINRA,,"SourceTerm - Ingredient Term (""ANAKINRA"")",-1,1114375,ANAKINRA,Drug,RxNorm,Ingredient,S,72435,1970-01-01,2099-12-31,,L04AC03
ANASTROZOLE,ANASTROZOLE,ANASTROZOLE,,"SourceTerm - Ingredient Term (""ANASTROZOLE"")",-1,1348265,ANASTROZOLE,Drug,RxNorm,Ingredient,S,84857,1970-01-01,2099-12-31,,L02BG03
ANETHOLE,ANETHOLE,ANETHOLE,,"SourceTerm - Ingredient Term (""ANETHOLE"")",-1,19032630,ANETHOLE,Drug,RxNorm,Ingredient,S,17881,1970-01-01,2099-12-31,,
ANGELICAE RADIX,ANGELICAE RADIX,ANGELICAE RADIX,,"Manual Overrule Mapping (""ANGELICAE RADIX"")",-1,44012511,ANGELICAE SINENSIS RADIX,Drug,RxNorm Extension,Ingredient,S,OMOP1131450,1970-01-01,2099-12-31,,
ANIDULAFUNGIN,ANIDULAFUNGIN,ANIDULAFUNGIN,,"SourceTerm - Ingredient Term (""ANIDULAFUNGIN"")",-1,19026450,ANIDULAFUNGIN,Drug,RxNorm,Ingredient,S,341018,2006-05-14,2099-12-31,,J02AX06
ANISI STELLATI FRUCTUS,ANISI STELLATI FRUCTUS,ANISI STELLATI FRUCTUS,,"Manual Overrule Mapping (""ANISI STELLATI FRUCTUS"")",-1,19060831,ANISE OIL,Drug,RxNorm,Ingredient,S,90926,1970-01-01,2099-12-31,,
ANISI VULGARIS FRUCTUS,ANISI VULGARIS FRUCTUS,ANISI VULGARIS FRUCTUS,,"Manual Overrule Mapping (""ANISI VULGARIS FRUCTUS"")",-1,43532148,PIMPINELLA ANISUM EXTRACT,Drug,RxNorm,Ingredient,S,1426421,2013-07-01,2099-12-31,,
ANTAZOLINE,ANTAZOLINE,ANTAZOLINE,,"SourceTerm - Ingredient Term (""ANTAZOLINE"")",-1,951237,ANTAZOLINE,Drug,RxNorm,Ingredient,S,865,1970-01-01,2099-12-31,,
ANTI-D IMMUNOGLOBULINS,ANTI-D IMMUNOGLOBULINS,ANTI-D IMMUNOGLOBULINS,,"SourceTerm - Ingredient Relationship (Standardised) ""Pharma/Biol Product"" with relation ""Maps to"" - Filter on best fit (""ANTI-D IMMUNOGLOBULINS"")",-1,535714,RHO(D) IMMUNE GLOBULIN,Drug,RxNorm,Ingredient,S,35465,1970-01-01,2099-12-31,,J06BB01
ANTI-T HUMAN LYMPHOCYTA IMMUNGLOBULIN (NYÚL),ANTI-T HUMAN LYMPHOCYTA IMMUNGLOBULIN (NYÚL),ANTI-T HUMAN LYMPHOCYTA IMMUNGLOBULIN (NYÚL),,"ATC - RxNorm (""L04AA04"")",-1,19136207,"LYMPHOCYTE IMMUNE GLOBULIN, ANTI-THYMOCYTE GLOBULIN",Drug,RxNorm,Ingredient,S,1011,1970-01-01,2099-12-31,,L04AA04
ANTITHROMBIN III,ANTITHROMBIN III,ANTITHROMBIN III,,"SourceTerm - Ingredient Term (""ANTITHROMBIN III"")",-1,1436169,ANTITHROMBIN III,Drug,RxNorm,Ingredient,S,1009,1970-01-01,2099-12-31,,B01AB02
